순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
3568	국제전문학술지(SCIE)	TAYLOR & FRANCIS LTD	ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE	프랑스	00379271	0.7	76.8
4519	국제전문학술지(SCIE)	PLEIADES PUBLISHING LTD	BULLETIN OF THE LEBEDEV PHYSICS INSTITUTE	러시아	10683356	0.7	76.8
8190	국제전문학술지(SCIE)	GEORGIA ENTOMOLOGICAL SOC INC	JOURNAL OF ENTOMOLOGICAL SCIENCE	미국	07498004	0.7	76.8
10252	국제전문학술지(SCIE)	PENSOFT PUBLISHERS	NOTA LEPIDOPTEROLOGICA	불가리아	03427536	0.7	76.8
3424	국제전문학술지(SCIE)	SAGE PUBLICATIONS INC	AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE	미국	10499091	1.4	76.9
4021	국제전문학술지(SCIE)	CSIRO PUBLISHING	AUSTRALIAN HEALTH REVIEW	호주	01565788	1.4	76.9
5975	국제전문학술지(SCIE)	INDERSCIENCE ENTERPRISES LTD	EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING	영국	17515254	1.4	76.9
9291	국제전문학술지(SCIE)	IWA PUBLISHING	JOURNAL OF WATER SANITATION AND HYGIENE FOR DEVELOPMENT	영국	20439083	1.4	76.9
11993	국제전문학술지(SCIE)	SPRINGER	TOP	미국	11345764	1.4	76.9
7177	국제전문학술지(SCIE)	ZARKA PRIVATE UNIV	INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY	요르단	16833198	1.1	76.9
7504	국제전문학술지(SCIE)	INDERSCIENCE ENTERPRISES LTD	INTERNATIONAL JOURNAL OF SENSOR NETWORKS	영국	17481279	1.1	76.9
8429	국제전문학술지(SCIE)	INST INFORMATION SCIENCE	JOURNAL OF INFORMATION SCIENCE AND ENGINEERING	대만	10162364	1.1	76.9
3410	국제전문학술지(SCIE)	LIPPINCOTT WILLIAMS & WILKINS	AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS	미국	02773732	1.8	77
10386	국제전문학술지(SCIE)	KARGER	ONCOLOGY	스위스	00302414	1.8	77
10392	국제전문학술지(SCIE)	UBM MEDICA	ONCOLOGY-NEW YORK	스위스	08909091	1.8	77
6581	국제전문학술지(SCIE)	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC	GRASAS Y ACEITES	스페인	00173495	1.1	77
5161	국제전문학술지(SCIE)	TAYLOR & FRANCIS LTD	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING	영국	10255842	1.6	77.1
5300	국제전문학술지(SCIE)	BENTHAM SCIENCE PUBL LTD	CURRENT COMPUTER-AIDED DRUG DESIGN	아랍에미리트	15734099	1.6	77.1
3395	국제전문학술지(SCIE)	AMER FERN SOC INC	AMERICAN FERN JOURNAL	미국	00028444	0.9	77.1
3560	국제전문학술지(SCIE)	FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD	ANNALES BOTANICI FENNICI	핀란드	00033847	0.9	77.1
4024	국제전문학술지(SCIE)	CSIRO PUBLISHING	AUSTRALIAN JOURNAL OF BOTANY	호주	00671924	0.9	77.1
4176	국제전문학술지(SCIE)	ACAD SCIENCES CZECH REPUBLIC, INST EXPERIMENTAL BOTANY	BIOLOGIA PLANTARUM	체코	00063134	0.9	77.1
5275	국제전문학술지(SCIE)	ADAC-CRYPTOGAMIE	CRYPTOGAMIE BRYOLOGIE	프랑스	12900796	0.9	77.1
9324	국제전문학술지(SCIE)	SPRINGER LONDON LTD	KEW BULLETIN	영국	00755974	0.9	77.1
10520	국제전문학술지(SCIE)	PAKISTAN BOTANICAL SOC	PAKISTAN JOURNAL OF BOTANY	파키스탄	05563321	0.9	77.1
10780	국제전문학술지(SCIE)	GEBRUDER BORNTRAEGER	PHYTOCOENOLOGIA	독일	0340269X	0.9	77.1
4825	국제전문학술지(SCIE)	CHINA PETROLEUM PROCESSING & PETROCHEMICAL TECHNOLOGY PRESS	CHINA PETROLEUM PROCESSING & PETROCHEMICAL TECHNOLOGY	중국	10086234	0.6	77.1
9145	국제전문학술지(SCIE)	JAPAN PETROLEUM INST	JOURNAL OF THE JAPAN PETROLEUM INSTITUTE	일본	13468804	0.6	77.1
12510	국제전문학술지(SSCI)	ENGAGE HEALTHCARE COMMUNICATIONS INC	AMERICAN HEALTH AND DRUG BENEFITS	미국	19422962	1.5	77.2
13462	국제전문학술지(SSCI)	TAYLOR & FRANCIS LTD	EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH	영국	14737167	1.5	77.2
9812	국제전문학술지(SCIE)	WILEY	MICROWAVE AND OPTICAL TECHNOLOGY LETTERS	미국	08952477	1.2	77.2
